koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_duration,ra,dec,koi_kepmag,koi_score,koi_smass,koi_srad,koi_smet,koi_slogg,koi_steff,koi_tce_plnt_num,koi_model_snr,koi_insol,koi_teq,koi_prad,koi_ror,koi_depth,koi_impact,koi_eccen,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
CANDIDATE,0,0,0,0,7.21203748,172.81782,2455005.818,4.0491,291.65353,38.494659,15.541,1.0,1.169,1.076,0.07,4.442,6214.0,2.0,51.5,260.58,1025.0,3.32,0.028255,950.4,0.012,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,0,0,1,14.1798187,171.50237,2455004.502,2.505,291.0448,51.321671,15.727,0.45680000000000004,0.975,0.878,-0.1,4.539,5799.0,1.2,11.2,60.35,711.0,1.88,0.019561,459.9,0.1601,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,8.47237911,174.16212,2455007.162,2.7245,296.36652,51.319519,15.339,1.0,0.884,0.788,-0.08,4.587,5354.0,1.0,47.6,75.44,751.0,2.59,0.030119,1123.5,0.022,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,60.4189369,181.16367,2455014.164,5.039,296.36652,51.319519,15.339,0.989,0.884,0.788,-0.08,4.587,5354.0,2.0,20.1,5.49,390.0,2.36,0.027422,931.3,0.094,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,12.611904345,180.892284,2455013.892,5.1497,289.11221,51.737381,15.14,1.0,0.992,0.919,-0.02,4.508,5795.0,1.0,277.2,76.15,753.0,7.4,0.073758,6105.6,0.55,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,0,0,1.433769925,170.403536,2455003.404,1.8868,290.84369,37.728828,15.122,0.0,1.083,1.339,0.02,4.22,6017.0,1.0,112.6,3209.29,1920.0,46.58,0.318591,1976.3,1.268,0.0,0.0,0.0,1.0
FALSE POSITIVE,0,1,1,0,10.31872301,173.31543,2455006.315,3.836,291.84891,37.713501,15.065,0.0,1.05,1.06,0.07,4.409,5927.0,1.0,38.2,139.26,876.0,28.59,0.247006,871.7,1.215,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,2.539183147,169.67494,2455002.675,2.4282,291.43997,37.905659,15.026,1.0,0.921,1.062,0.14,4.35,5519.0,1.0,38.9,743.09,1332.0,2.06,0.017724,382.1,0.238,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.770300385,170.57662,2455003.577,2.0844,290.87051,38.273628,15.591,1.0,0.767,0.679,-0.84,4.656,5653.0,1.0,50.8,102.87,812.0,2.77,0.037414,1304.0,0.838,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,1,1,0.444291966,169.865406,2455002.865,2.0792,290.99689,38.28492,15.748,0.0,0.709,0.636,-0.72,4.678,5255.0,1.0,299.7,2706.26,1836.0,27.51,0.396105,10967.0,1.258,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,10.181584004,177.141891,2455010.142,3.5089,291.28195,38.241669,15.657,1.0,0.885,0.836,-0.52,4.541,5988.0,1.0,183.6,102.91,812.0,7.73,0.084708,5741.1,0.92,0.0,1.0,0.0,0.0
CANDIDATE,0,0,0,0,20.06036336,147.46554,2454980.466,3.3203,286.07913,39.27832,15.954,1.0,0.502,0.493,-0.46,4.754,3950.0,2.0,35.2,4.0,361.0,1.96,0.036455,1494.7,0.556,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,46.1842039,165.23729,2454998.237,4.758,286.07913,39.27832,15.954,1.0,0.502,0.493,-0.46,4.754,3950.0,3.0,26.0,1.32,273.0,1.83,0.033974,1394.7,0.013,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,23.9800854,147.537,2454980.537,5.351,300.86398,44.337551,12.882,0.952,0.951,1.012,-0.12,4.406,5854.0,4.0,17.1,41.94,649.0,1.31,0.011879,104.0,0.95,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,7.82502168,136.54995,2454969.55,2.186,286.07913,39.27832,15.954,0.994,0.502,0.493,-0.46,4.754,3950.0,4.0,15.9,14.05,494.0,1.2,0.022312,520.8,0.708,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.895936525,170.527552,2455003.528,2.3111,294.65524,39.308361,15.725,1.0,0.866,0.774,-0.3,4.592,5557.0,1.0,370.8,241.62,1005.0,7.34,0.08689,8544.8,0.524,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,22.36646466,175.45862,2455008.459,5.228,294.71063,39.52174,15.583,0.999,0.821,0.734,-0.34,4.615,5395.0,1.0,32.1,19.45,536.0,2.32,0.028938,986.8,0.4,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,1.625522174,170.8266564,2455003.827,2.38963,293.87192,38.422939,15.001,1.0,0.935,1.106,0.16,4.322,5539.0,1.0,799.7,1467.41,1579.0,9.73,0.080543,7969.0,0.076,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,19.620346923,181.881819,2455014.882,2.0038,293.81619,38.563568,15.562,1.0,0.928,0.905,-0.1,4.492,5710.0,1.0,340.5,40.39,643.0,13.6,0.137595,21725.0,0.458,0.0,1.0,0.0,0.0
FALSE POSITIVE,1,0,1,0,7.544039,171.7982,2455004.798,6.222,293.94116,38.601101,15.559,0.0,0.919,0.824,-0.18,4.567,5657.0,2.0,14.2,116.46,838.0,17.47,0.194187,322.6,1.175,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,9.02930689,177.20422,2455010.204,3.1449,290.33362,38.72823,15.387,1.0,0.824,0.82,-0.12,4.526,5349.0,1.0,53.9,77.75,757.0,2.57,0.028718,1019.8,0.024,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,1,0,0,10.328035714,174.581054,2455007.581,7.7915,287.69675,38.886452,15.646,0.053,0.874,1.024,-0.1,4.359,5627.0,1.0,636.8,119.31,843.0,13.28,0.118805,16918.0,0.281,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,143.2063047,154.23552,2454987.236,8.9302,285.28363,38.947281,15.403,1.0,0.986,0.867,0.21,4.556,5485.0,2.0,138.8,2.14,308.0,8.9,0.094044,10566.0,0.379,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,6.164876,135.63916,2454968.639,3.262,300.86398,44.337551,12.882,0.95,0.951,1.012,-0.12,4.406,5854.0,3.0,14.4,256.35,1021.0,0.79,0.007192,55.8,0.646,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,60.32494216,243.892578,2455076.893,6.6188,285.28363,38.947281,15.403,0.745,0.986,0.867,0.21,4.556,5485.0,1.0,347.2,6.77,411.0,12.19,0.128744,20280.0,0.224,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,29.1598615,150.69922,2454983.699,4.803,285.28363,38.947281,15.403,0.3814,0.986,0.867,0.21,4.556,5485.0,1.2,11.6,17.85,524.0,1.91,0.02018,488.0,0.3619,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,0,1,1,1.540397253,170.50479,2455003.505,2.1541,286.92639,38.921631,15.974,0.0,1.034,0.915,0.21,4.53,5663.0,1.0,38.8,1105.68,1470.0,25.69,0.257087,816.1,1.225,0.0,0.0,0.0,1.0
